id,pedido_id,produto_id,quantidade,preco_unitario
1,184,30,7,39.99
2,185,15,7,2.49
3,101,50,7,2.99
4,169,6,10,12.99
5,118,35,5,2.99
6,8,11,9,3.99
7,68,41,9,5.99
8,182,6,7,8.99
9,199,19,6,15.99
10,130,47,4,3.79
11,118,47,7,34.99
12,21,49,5,39.99
13,165,2,5,89.99
14,73,19,9,14.99
15,74,22,10,25.99
16,87,4,6,54.99
17,128,6,9,5.99
18,29,46,5,199.99
19,116,6,8,3.99
20,102,4,7,25.99
21,34,21,6,29.99
22,124,38,5,2.49
23,171,45,7,58.99
24,148,46,8,3.79
25,129,42,8,3.49
26,164,10,6,29.99
27,88,40,10,5.79
28,119,35,2,3.69
29,102,24,5,4.29
30,120,16,10,9.99
31,173,34,3,64.99
32,95,20,10,2.99
33,14,29,7,2.49
34,35,28,8,39.99
35,178,20,7,3.29
36,44,42,7,1.99
37,183,2,2,10.99
38,100,28,7,2.99
39,197,37,4,3.49
40,35,14,4,59.99
41,133,40,8,1.99
42,169,17,7,24.99
43,22,15,2,3.29
44,104,4,2,4.99
45,166,24,3,29.99
46,120,34,3,39.99
47,99,41,7,19.99
48,99,1,9,14.99
49,85,28,6,10.99
50,114,46,1,11.99
51,196,45,6,3.99
52,127,2,2,49.99
53,15,16,6,12.99
54,166,33,10,69.99
55,120,20,8,18.99
56,124,10,1,79.99
57,82,34,1,2.79
58,77,10,1,2.49
59,73,32,5,99.99
60,59,31,10,2.99
61,9,9,6,22.99
62,129,40,2,3.49
63,46,45,10,39.99
64,160,50,10,2.59
65,118,16,9,3.99
66,141,29,10,39.99
67,48,21,2,5.99
68,22,3,8,12.99
69,80,21,1,49.99
70,56,21,6,3.29
71,54,46,7,3.99
72,36,30,3,5.49
73,118,15,10,24.99
74,89,11,10,1.29
75,32,20,4,2.49
76,35,11,10,2.79
77,126,1,3,1.99
78,101,36,6,24.99
79,60,18,6,54.99
80,46,4,4,2.99
81,25,5,3,49.99
82,6,44,5,19.99
83,151,47,1,8.99
84,156,7,3,2.49
85,108,23,6,3.49
86,187,33,10,24.99
87,13,36,2,24.99
88,191,11,10,3.99
89,27,29,2,19.99
90,19,33,1,1.79
91,155,15,9,5.99
92,89,7,7,17.99
93,118,22,5,59.99
94,16,16,8,7.99
95,188,32,1,2.99
96,48,31,5,15.99
97,128,4,5,59.99
98,160,39,6,29.99
99,143,34,5,12.99
100,23,50,1,34.99
101,1,5,3,2.49
102,64,12,6,24.99
103,71,41,4,6.99
104,47,32,3,1.29
105,81,31,1,3.99
106,65,2,1,2.99
107,80,37,7,9.99
108,114,12,9,39.99
109,117,43,4,2.99
110,70,31,2,2.99
111,157,22,2,34.99
112,196,39,7,89.99
113,50,12,6,3.99
114,118,2,2,19.99
115,52,47,10,59.99
116,199,14,3,8.99
117,121,3,2,1.5
118,117,47,8,6.99
119,56,44,2,2.79
120,26,26,8,49.99
121,123,48,7,7.99
122,95,33,7,69.99
123,164,8,2,19.99
124,106,23,4,6.99
125,194,24,10,19.99
126,142,4,9,34.99
127,78,42,7,49.99
128,43,10,5,4.29
129,154,16,8,4.49
130,132,7,1,8.99
131,15,1,6,39.99
132,160,47,9,24.99
133,15,11,10,5.29
134,7,40,10,99.99
135,77,41,8,5.49
136,70,34,9,149.99
137,46,5,6,59.99
138,12,30,2,3.99
139,9,6,5,5.29
140,167,13,1,4.49
141,198,45,7,14.99
142,48,10,7,19.99
143,84,44,2,7.99
144,200,49,5,12.99
145,75,40,8,18.99
146,88,1,2,19.99
147,186,8,1,199.99
148,99,23,7,0.75
149,184,13,2,2.99
150,91,26,6,3.49
151,178,46,1,24.99
152,111,7,7,39.99
153,8,7,2,79.99
154,131,1,4,139.99
155,121,4,8,29.99
156,144,49,1,89.99
157,88,27,4,3.49
158,21,28,2,7.99
159,31,7,4,3.99
160,43,42,3,5.49
161,37,25,9,49.99
162,89,46,7,4.99
163,42,24,1,3.59
164,131,50,9,5.99
165,195,43,5,19.99
166,94,4,4,5.49
167,121,29,2,19.99
168,97,38,5,69.99
169,12,4,4,23.99
170,197,8,5,3.29
171,82,21,4,3.99
172,60,19,1,2.99
173,128,40,6,5.49
174,105,19,5,12.99
175,194,16,9,59.99
176,39,39,7,6.49
177,146,4,10,19.99
178,120,6,3,39.99
179,37,14,1,2.99
180,98,17,3,69.99
181,2,40,1,39.99
182,199,24,5,3.49
183,47,37,6,49.99
184,190,33,5,45
185,192,38,10,4.99
186,66,44,10,6.49
187,11,15,5,1.89
188,140,47,4,5.99
189,182,19,1,39.99
190,102,38,4,39.99
191,157,47,7,25.99
192,145,20,10,6.99
193,129,34,10,34.99
194,187,21,3,19.99
195,11,22,10,22.99
196,141,6,3,2.79
197,119,30,7,24.99
198,96,31,7,129.99
199,25,50,7,18.99
200,121,31,8,3.79
201,99,25,1,22.99
202,114,1,1,3.99
203,57,4,9,3.29
204,75,50,2,7.99
205,4,3,2,5.99
206,93,29,7,59.99
207,116,33,3,4.99
208,147,24,2,12.99
209,191,3,6,54.99
210,36,1,8,4.99
211,180,38,6,19.99
212,193,32,8,5.99
213,95,22,5,29.99
214,185,36,7,9.99
215,62,39,2,8.49
216,174,44,10,2.39
217,155,27,5,3.29
218,162,3,5,1.39
219,199,34,9,34.99
220,36,32,1,6.99
221,12,12,4,1.89
222,131,14,7,6.99
223,153,23,3,1.99
224,140,48,5,8.49
225,74,49,7,49.99
226,65,26,4,79.99
227,139,46,9,6.99
228,178,5,6,3.99
229,164,49,6,39.99
230,166,4,3,29.99
231,114,9,6,2.49
232,45,37,1,14.99
233,138,46,4,12.99
234,5,15,5,3.99
235,40,5,10,59.99
236,70,30,5,4.99
237,185,21,3,5.99
238,160,25,3,49.99
239,188,4,9,59.99
240,104,44,1,89.99
241,89,41,3,99.99
242,23,9,4,1.29
243,158,24,3,4.99
244,73,8,5,49.99
245,13,9,10,19.99
246,174,25,4,9.99
247,77,3,8,29.99
248,171,21,6,19.99
249,2,16,5,6.99
250,115,47,6,2.99
251,65,13,2,11.99
252,142,30,7,34.99
253,189,7,3,3.49
254,107,25,6,19.99
255,119,19,9,34.99
256,110,38,8,19.99
257,159,17,7,49.99
258,102,40,8,19.99
259,160,10,8,19.99
260,109,43,1,3.49
261,2,6,8,24.99
262,25,28,2,3.79
263,6,21,5,9.99
264,171,35,7,5.49
265,87,3,5,17.99
266,170,22,7,49.99
267,150,10,9,39.99
268,104,11,9,35.99
269,131,20,4,9.99
270,29,26,7,4.29
271,52,50,4,39.99
272,170,12,9,8.99
273,81,28,6,4.99
274,89,18,3,89.99
275,58,11,9,49.99
276,98,26,1,6.49
277,14,1,8,29.99
278,83,11,2,69.99
279,83,20,3,19.99
280,33,9,10,39.99
281,152,17,7,1.99
282,31,13,4,24.99
283,71,19,9,24.99
284,192,28,6,5.99
285,60,12,7,89
286,29,50,9,39.99
287,130,23,6,4.29
288,70,48,7,49.99
289,104,30,4,1.99
290,9,48,3,4.49
291,29,36,8,99.99
292,33,15,4,3.49
293,183,5,8,6.49
294,140,36,2,3.29
295,38,10,1,4.49
296,5,35,2,6.49
297,160,43,8,14.99
298,118,25,4,34.99
299,106,26,5,34.99
300,39,42,1,5.99
301,22,33,3,49.99
302,155,49,10,1.99
303,192,47,7,18.99
304,82,13,7,24.99
305,14,5,1,5.99
306,59,46,10,4.99
307,190,19,9,3.29
308,129,50,5,3.99
309,9,31,9,4.29
310,101,24,6,2.99
311,77,43,9,39.99
312,127,47,4,3.29
313,125,50,5,4.99
314,161,26,5,15.99
315,158,43,4,4.49
316,177,20,1,8.99
317,81,30,5,4.49
318,131,35,7,29.99
319,154,22,4,2.99
320,112,2,9,19.99
321,39,18,4,22.99
322,26,35,8,4.89
323,189,50,6,99.99
324,15,42,4,9.49
325,107,23,10,89.99
326,103,30,10,9.99
327,36,48,4,3.99
328,154,49,9,11.99
329,113,40,6,2.59
330,125,47,10,10.99
331,165,21,7,79.99
332,22,9,2,6.29
333,133,25,9,2.49
334,123,37,1,3.29
335,4,22,8,24.99
336,61,3,6,25
337,38,21,6,2.99
