id,cliente_id,data_pedido,status,valor_total
1,63,3/8/2026,PAGO,3.49
2,17,12/21/2025,CANCELADO,9.99
3,87,6/7/2025,ENTREGUE,2.99
4,71,6/7/2025,ENTREGUE,2.39
5,26,6/3/2025,PENDENTE,39.99
6,84,3/13/2026,CANCELADO,3.79
7,88,5/18/2025,PAGO,18.99
8,8,4/5/2026,PENDENTE,2.99
9,16,6/7/2025,PAGO,14.99
10,22,4/25/2026,ENTREGUE,3.39
11,57,9/3/2025,PAGO,2.39
12,15,2/27/2026,CANCELADO,199.99
13,53,12/5/2025,ENTREGUE,6.89
14,52,11/9/2025,ENTREGUE,0.79
15,79,10/1/2025,CANCELADO,4.99
16,50,6/13/2025,PENDENTE,59.99
17,85,7/4/2025,PAGO,24.99
18,69,11/3/2025,CANCELADO,2.29
19,59,5/11/2025,PENDENTE,1.99
20,58,1/17/2026,CANCELADO,24.99
21,25,10/14/2025,PAGO,249.99
22,81,12/30/2025,PAGO,4.29
23,95,5/7/2025,ENTREGUE,3.99
24,30,9/13/2025,ENTREGUE,99.99
25,48,5/25/2025,PAGO,99.99
26,6,6/20/2025,CANCELADO,7.99
27,18,1/5/2026,CANCELADO,2.99
28,80,6/20/2025,PAGO,24.99
29,71,8/6/2025,PAGO,69.99
30,14,3/17/2026,CANCELADO,59.99
31,33,5/10/2025,PAGO,149.99
32,37,11/19/2025,ENTREGUE,39.99
33,57,4/13/2026,ENTREGUE,39.99
34,88,4/26/2026,ENTREGUE,24.99
35,90,7/16/2025,PENDENTE,10.99
36,88,6/6/2025,PAGO,19.99
37,98,8/26/2025,ENTREGUE,3.99
38,51,9/15/2025,PAGO,19.99
39,14,1/14/2026,ENTREGUE,19.99
40,47,9/24/2025,PENDENTE,5.99
41,52,10/28/2025,PENDENTE,2.49
42,92,3/2/2026,PAGO,39.99
43,51,9/15/2025,PENDENTE,39.99
44,44,2/2/2026,PAGO,5.99
45,49,5/4/2025,PENDENTE,34.99
46,100,4/30/2026,CANCELADO,49.99
47,41,12/31/2025,PENDENTE,4.49
48,68,8/20/2025,PAGO,3.49
49,71,2/10/2026,PENDENTE,2.99
50,95,12/26/2025,PENDENTE,3.49
51,70,11/4/2025,PENDENTE,3.29
52,39,12/25/2025,PENDENTE,29.99
53,58,12/11/2025,PAGO,2.49
54,21,10/19/2025,ENTREGUE,2.49
55,38,3/18/2026,PAGO,199.99
56,55,2/21/2026,PENDENTE,19.99
57,87,9/26/2025,PENDENTE,2.49
58,86,4/2/2026,ENTREGUE,24.99
59,79,4/29/2026,PAGO,3.79
60,60,5/25/2025,ENTREGUE,34.99
61,4,4/5/2026,PENDENTE,2.99
62,54,10/19/2025,PENDENTE,5.99
63,57,4/19/2026,PENDENTE,1.79
64,21,11/2/2025,PENDENTE,4.29
65,95,11/16/2025,CANCELADO,4.29
66,30,7/12/2025,CANCELADO,29.99
67,79,9/29/2025,CANCELADO,19.99
68,11,11/22/2025,ENTREGUE,59.99
69,58,10/18/2025,PENDENTE,18.99
70,52,9/28/2025,PENDENTE,4.99
71,43,9/1/2025,CANCELADO,39.99
72,80,8/19/2025,PENDENTE,34.99
73,50,10/13/2025,PAGO,29.99
74,23,8/1/2025,ENTREGUE,29.99
75,98,12/30/2025,ENTREGUE,14.99
76,36,4/25/2026,CANCELADO,4.99
77,95,1/29/2026,PAGO,3.39
78,47,4/19/2026,PENDENTE,15.99
79,66,4/27/2026,CANCELADO,49.99
80,10,10/5/2025,PAGO,2.29
81,58,7/14/2025,ENTREGUE,7.99
82,79,3/20/2026,PENDENTE,45.99
83,27,7/23/2025,ENTREGUE,34.99
84,45,12/10/2025,ENTREGUE,49.99
85,83,5/9/2025,PENDENTE,6.99
86,25,5/25/2025,PAGO,14.99
87,98,4/12/2026,PAGO,8.99
88,96,7/26/2025,PENDENTE,1.99
89,79,11/1/2025,ENTREGUE,2.99
90,79,12/28/2025,ENTREGUE,7.99
91,52,6/28/2025,CANCELADO,49.99
92,62,9/4/2025,ENTREGUE,39.99
93,57,3/16/2026,PENDENTE,3.49
94,62,1/3/2026,CANCELADO,22.99
95,32,2/28/2026,ENTREGUE,29.99
96,91,8/18/2025,ENTREGUE,39.99
97,47,10/29/2025,CANCELADO,19.99
98,4,5/8/2025,PENDENTE,34.99
99,4,1/21/2026,PENDENTE,7.49
100,14,11/9/2025,ENTREGUE,49.99
101,16,11/13/2025,CANCELADO,2.69
102,99,9/1/2025,PENDENTE,29.99
103,75,4/5/2026,CANCELADO,3.29
104,91,8/21/2025,PAGO,199.99
105,75,10/4/2025,ENTREGUE,12.99
106,30,7/3/2025,CANCELADO,25
107,16,10/1/2025,PAGO,3.99
108,22,6/6/2025,PAGO,14.99
109,90,9/29/2025,ENTREGUE,59.99
110,24,8/23/2025,ENTREGUE,3.79
111,98,9/24/2025,CANCELADO,1.69
112,2,5/22/2025,PAGO,3.49
113,69,9/11/2025,CANCELADO,22.99
114,38,12/17/2025,PENDENTE,4.29
115,27,4/10/2026,PAGO,15.99
116,71,1/26/2026,ENTREGUE,4.99
117,73,11/4/2025,PENDENTE,4.29
118,21,7/31/2025,ENTREGUE,59.99
119,8,11/22/2025,PENDENTE,3.99
120,90,8/10/2025,PAGO,29.99
121,62,2/10/2026,CANCELADO,29.99
122,42,12/2/2025,CANCELADO,14.99
123,89,2/14/2026,PENDENTE,24.99
124,49,4/10/2026,PAGO,1.99
125,62,1/26/2026,CANCELADO,39.99
126,24,7/18/2025,PENDENTE,19.99
127,21,2/23/2026,CANCELADO,3.49
128,62,12/25/2025,PENDENTE,7.99
129,76,11/21/2025,PAGO,24.99
130,54,11/3/2025,PAGO,1.79
131,32,8/27/2025,PAGO,24.99
132,43,10/17/2025,PENDENTE,2.99
133,88,10/16/2025,CANCELADO,14.99
134,15,3/4/2026,PENDENTE,3.29
135,33,10/10/2025,CANCELADO,2.49
136,3,7/12/2025,PENDENTE,54.99
137,71,8/23/2025,PENDENTE,18.99
138,29,8/4/2025,ENTREGUE,89.99
139,42,1/19/2026,CANCELADO,5.99
140,23,3/27/2026,PENDENTE,3.79
141,96,7/29/2025,PENDENTE,49.99
142,7,7/4/2025,ENTREGUE,44.99
143,45,10/10/2025,PAGO,14.99
144,27,6/28/2025,PENDENTE,39.99
145,25,3/17/2026,ENTREGUE,34.99
146,46,8/26/2025,PAGO,24.99
147,51,7/31/2025,PAGO,9.99
148,41,10/17/2025,ENTREGUE,34.99
149,98,2/25/2026,CANCELADO,39.99
150,5,12/25/2025,ENTREGUE,5.99
151,35,6/8/2025,PENDENTE,12.99
152,12,11/19/2025,ENTREGUE,4.29
153,86,10/31/2025,ENTREGUE,99.99
154,11,6/13/2025,CANCELADO,39.99
155,83,6/19/2025,PENDENTE,59.99
156,78,3/3/2026,ENTREGUE,29.99
157,62,4/16/2026,ENTREGUE,199.99
158,66,2/17/2026,CANCELADO,79.99
159,67,8/1/2025,PENDENTE,11.99
160,95,6/23/2025,ENTREGUE,24.99
161,95,12/30/2025,PAGO,5.99
162,81,11/4/2025,CANCELADO,4.29
163,11,12/10/2025,CANCELADO,24.99
164,4,7/23/2025,CANCELADO,12.99
165,90,4/19/2026,PENDENTE,199.99
166,68,11/9/2025,CANCELADO,39.99
167,16,4/29/2026,ENTREGUE,3.99
168,7,4/22/2026,PENDENTE,24.99
169,50,10/24/2025,ENTREGUE,129.99
170,92,1/26/2026,ENTREGUE,5.49
171,84,2/28/2026,PENDENTE,34.99
172,22,3/19/2026,PENDENTE,2.29
173,37,1/25/2026,ENTREGUE,59.99
174,98,10/22/2025,CANCELADO,6.99
175,90,6/29/2025,ENTREGUE,39.99
176,98,12/3/2025,ENTREGUE,12.99
177,34,6/2/2025,PAGO,6.99
178,5,8/7/2025,ENTREGUE,39.99
179,82,9/10/2025,CANCELADO,19.99
180,94,7/30/2025,PAGO,34.99
181,81,8/9/2025,ENTREGUE,4.99
182,56,9/22/2025,PENDENTE,3.29
183,17,9/11/2025,PAGO,59.99
184,35,10/3/2025,PENDENTE,8.99
185,50,8/30/2025,CANCELADO,9.49
186,6,10/28/2025,ENTREGUE,15.99
187,4,12/3/2025,ENTREGUE,2.49
188,73,10/26/2025,CANCELADO,29.99
189,86,6/26/2025,PENDENTE,44.99
190,55,5/8/2025,PENDENTE,19.99
191,6,8/3/2025,PENDENTE,49.99
192,9,12/3/2025,CANCELADO,19.99
193,1,1/28/2026,PENDENTE,49.99
194,34,5/3/2026,PAGO,2.79
195,43,2/8/2026,PENDENTE,79.99
196,20,12/20/2025,PENDENTE,39.99
197,1,1/14/2026,PAGO,89.99
198,52,3/12/2026,CANCELADO,249.99
199,88,5/13/2025,CANCELADO,7.49
200,6,9/27/2025,PAGO,39.99
